,,,,,,,,,,,,,,,
Associate of Science Transfer Degree -- Biological Sciences Concentration ,,,,,,,,,,,,,,,
DCC COURSE,UNO EQUIV,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
English Compostion (6 hours total),,,,,Humanities (9 hours total),,,,,Social/Behavioral Sciences (6 hours total),,,,,
choose 1,,choose 1,,,choose 1,,choose 2,,,,choose 2,,,,
ENGL 101,ENGL 1157,ENGL 102,ENGL 1158,,ENGL 205,ENGL 2238,ARCH 180,no equiv,,,ANTH 160,AMTH 2052,,,
ENGL 110,ENGL 1157,,,,ENGL 206,ENGL 2208 or 2228,ASLS 101,EDSP 1001,,,ANTH 165,ANTH 2051,,,
,,,,,ENGL 211,ENGL 2031 ,CMST 130,GHUM (3),,,ANTH 181,GEOG 1001 and GEOG 1002,,,
,,,,,ENGL 212,ENGL 2032,CMST 230,FTA 2650,,,ANTH 200,ANTH 2000NE,,,
Math/Analytical Reasoning (6 hours total),,,,,ENGL 221,ENGL 2341,ENGL 207,GHUM (3),,,ANTH 205,GEOG 2151 ,,,
choose 1,,choose 1,,,ENGL 222,ENGL 2342,ENGL 211,ENGL 2031 ,,,ECON 201,ECON 1204,,,
MATH 130,MATH 1125,MATH 131,MATH 1126,,ENGL 231,ENGL 2371,ENGL 212,ENGL 2032,,,ECON 202,ECON 1203 ,,,
,,MATH 203,MATH 2314/2785,,ENGL 232,GHUM (3) ,ENGL 221,ENGL 2341,,,POLI 180,POLI 2151,,,
,,MATH 221,MATH 2114,,ENGL 243,ENGL 2000NE,ENGL 222,ENGL 2342,,,PSYC 112,no equiv,,,
,,,,,ENGL 244,ENGL 2071 or 2072,ENGL 235,GHUM (3),,,PSYC 127,PSYC 1000,,,
,,,,,ENGL 253,ENGL 2377,ENGL 240-241,ENGL 2398,,,PSYC 217,no equiv,,,
Final Arts (3 hours total),,,,,,,ENGL 243,ENGL 2000NE,,,PSYC 225,PSYC 2110,,,
choose 1,,,,,,,ENGL 244,ENGL 2071,,,PSYC 226,PSYC 2100,,,
FNAR 121,FA 1010,,,,,,ENGL 245,ENGL 2378,,,PSYC 235,PSYC 2200,,,
FNAR 125,FA 2201,,,,,,ENGL 253,"	ENGL 2377",,,PSYC 240,no equiv,,,
FNAR 126,FA 2202,,,,,,FREN 101,FREN 1001,,,PSYC 245,PSYC 2400,,,
FNAR 127,FA 2264,,,,,,FREN 102,FREN 1002,,,SOCI 151,SOC 1051,,,
FNAR 158,FA 1000NE ,,,,,,FREN 125,FREN 1000NE,,,SOCI 155,SOC 2962,,,
MUSC 105,MUS 1000,,,,,,FREN 201,FREN 2001,,,SOCI 250,SOC 1051,,,
MUSC 108,MUSC 1000NE,,,,,,FREN 202,FREN 2002 ,,,SOCI 255,SOC 1051,,,
MUSC 137,MUS 1003,,,,,,FREN 225,FREN 2000NE,,,SOCI 257,SOC 2000NE ,,,
THEA 101,FTA 1000,,,,,,HIST 101,GHUM (3),,,,,,,
THEA 207,FTCA 2000NE ,,,,,,HIST 102,GHUM (3),,,,,,,
THEA 209,No equiv,,,,,,HIST 103,HIST 1001,,,,,,,
,,,,,,,HIST 105,HIST 1002,,,,,,,
,,,,,,,HIST 141,HIST 1010,,,,,,,
,,,,,,,HIST 205,HIST 2501,,,,,,,
,,,,,,,HIST 206,HIST 2502,,,,,,,
,,,,,,,HIST 240-241,HIST 2000NE,,,,,,,
,,,,,,,HIST 242,no equiv,,,,,,,
,,,,,,,HIST 260,HIST 2601,,,,,,,
,,,,,,,HUMA 105,FA 1000NE ,,,,,,,
,,,,,,,HUMA 150,A&S 1119 and HUMS 1000NE ,,,,,,,
,,,,,,,HUMA 211,GHUM (3),,,,,,,
,,,,,,,HUMA 212,GHUM (3),,,,,,,
,,,,,,,HUMA 220,FA 1000NE ,,,,,,,
,,,,,,,HUMA 260,HUMS 2000NE,,,,,,,
,,,,,,,PHIL 101,PHIL 1000,,,,,,,
,,,,,,,PHIL 175,PHIL 1200,,,,,,,
,,,,,,,SPAN 101,SPAN 1001,,,,,,,
,,,,,,,SPAN 102,SPAN 1002,,,,,,,
,,,,,,,SPAN 201,SPAN 2001,,,,,,,
,,,,,,,SPAN 202,SPAN 2002,,,,,,,
,,,,,,,SPAN 204,SPAN 2000NE ,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Biological Sciences Major Requirements (30 hours),,,,,,,,,,,,,,,
REQURED  (12 hours),,,,,,,,,,,,,,,
(3 hours),,(1 hour),,(3 hours),,(1 hour),,(3 hours),,(1 hour),,,,,
BIOL 141,BIOS 1083,BIOL 143,BIOS 1081,BIOL 142,BIOS 1073,BIOL 144,BIOS 1071,CHEM 141,CHEM 1017,Chem 143,CHEM 1007,,,,
RECOMMENDED (18 hours),,,,,,,,,,,,,,,
(3 hours),,(1 hour),,(3 hours),,(1 hour),,(3 hours),,(1 hour),,(3 hours),,(3 hours),
CHEM 142,CHEM 1018,CHEM 144,CHEM 1008,CHEM 221,CHEM 2217,CHEM 223,CHEM 2017,CHEM 222,equiv?,CHEM 224,equiv?,PHYS 141,PHYS 1031,PHYS 142,PHYS 1032
,,,,,,,,,,,,PHYS 221,PHYS 1061,PHYS 222,PHYS 1062
,,,,,,TOTAL 60 CREDITS,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Other Potential Biology Electives,,,,,,,,,,,,,,,
(3 hours),,(1 hours),,(4 hours),,(3 hours),,(3 hours),,(3 hours),,,,,
BIOL 211,BIOS 2743,BIOS 212,BIOS 2741,BIOL 265 & 266,BIOS 2114,BIOS 251,BIOS 1303,BIOL 252,BIOS 1313,BIOL 114,BIOS 2313,,,,
BIOL 210,BIOS 2743,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
